n,naive_avg_ms,cache_opt_avg_ms,time_ratio
300,0.0617455,0.0319035,1.935383265158995
301,0.06331356666666667,0.033609,1.8838277445525504
302,0.07198886666666666,0.032708966666666665,2.2008908872082986
303,0.07163850000000001,0.031885366666666665,2.2467516446938567
304,0.0646924,0.0322083,2.008563010155767
305,0.0684043,0.031261033333333334,2.1881650318660824
306,0.0646468,0.0324512,1.9921235578345333
307,0.07142756666666666,0.034990700000000007,2.0413300295983405
308,0.07052883333333333,0.032102733333333335,2.196972843433892
309,0.06830973333333333,0.03162056666666666,2.1602944075427706
310,0.07815290000000001,0.0337588,2.315037856795858
311,0.06569326666666667,0.034497733333333336,1.9042777689741934
312,0.07535296666666667,0.0342477,2.200234370969924
313,0.10066313333333332,0.0353531,2.847363691821462
314,0.09258099999999998,0.035170933333333335,2.6323157000856763
315,0.09236916666666667,0.03348583333333333,2.758455068063609
316,0.07380656666666667,0.03460353333333333,2.1329199522977422
317,0.07736843333333333,0.0357221,2.165842247049679
318,0.1248067,0.03538853333333333,3.52675537085459
319,0.10677133333333333,0.036958399999999995,2.888959839531293
320,0.0745025,0.034025933333333334,2.189579908657906
321,0.07204683333333334,0.0392882,1.833803364199259
322,0.07100393333333334,0.038938433333333335,1.823492299382016
323,0.07649463333333334,0.037941166666666665,2.016138143704947
324,0.07854696666666666,0.0344243,2.2817302506272217
325,0.07789313333333332,0.0350599,2.22171578736201
326,0.07757123333333334,0.035751866666666667,2.169711418331537
327,0.07823580000000001,0.05546526666666667,1.4105368044145346
328,0.07628616666666667,0.056923100000000004,1.3401618440785317
329,0.10119373333333333,0.052253400000000005,1.9365961513190206
330,0.09337190000000001,0.040473199999999994,2.3070056234742995
331,0.0948597,0.0411868,2.3031578078413473
332,0.08181893333333333,0.0392181,2.0862543910422313
333,0.08759913333333334,0.040251833333333334,2.1762768569547557
334,0.105696,0.0390384,2.7074880118037625
335,0.0996647,0.04053353333333334,2.4588209268704264
336,0.0882598,0.039951266666666665,2.2091865255836693
337,0.08812393333333335,0.039681100000000004,2.2208036907579007
338,0.0919684,0.03922393333333333,2.3447011093567025
339,0.08547826666666668,0.047322699999999995,1.8062846512702506
340,0.1002994,0.0427682,2.345186376793973
341,0.0920235,0.04318843333333333,2.130744111270533
342,0.08568886666666668,0.048854833333333327,1.7539486028335654
343,0.0837112,0.04592193333333333,1.8229023458652294
344,0.09006759999999998,0.04888086666666667,1.842594171134445
345,0.0939568,0.03959393333333333,2.3730100065835003
346,0.08960886666666668,0.04909843333333333,1.8250860685982515
347,0.0889472,0.054107833333333334,1.6438876687602226
348,0.0955764,0.0429855,2.2234567470426074
349,0.09364913333333334,0.041343866666666666,2.2651275965157267
350,0.12239866666666666,0.04100236666666667,2.985161019160682
351,0.12054166666666666,0.04080706666666666,2.953940984077921
352,0.0950505,0.04054566666666667,2.344282578491742
353,0.1002539,0.0637391,1.5728791275684784
354,0.10056156666666667,0.05006756666666667,2.008517157148307
355,0.10174433333333333,0.043662200000000005,2.3302612633658706
356,0.11572003333333335,0.048911100000000006,2.3659257987109945
357,0.10514889999999999,0.04154416666666667,2.531014783463382
358,0.10305170000000001,0.06572776666666667,1.5678564056895286
359,0.10935636666666666,0.051406,2.1273074478984295
360,0.1021749,0.04815666666666666,2.1217186959230294
361,0.10680933333333333,0.0469395,2.275468067050849
